kepid,kepmag,nkoi,ntce,st_quarters,dutycycle,dataspan,st_delivname
10519701,13.381,1,0,,,,q1_q12_stellar
10519727,13.609,1,0,,,,q1_q12_stellar
10525027,14.220,1,1,,,,q1_q12_stellar
10484409,15.246,1,1,,,,q1_q12_stellar
10384798,14.777,1,1,,,,q1_q12_stellar
10384962,14.371,1,0,,,,q1_q12_stellar
10487228,15.714,1,0,,,,q1_q12_stellar
10386984,15.488,1,1,,,,q1_q12_stellar
10387742,12.623,2,1,,,,q1_q12_stellar
10387792,14.060,1,0,,,,q1_q12_stellar
10388286,14.818,1,1,,,,q1_q12_stellar
10419797,15.149,1,1,,,,q1_q12_stellar
10420301,15.773,1,1,,,,q1_q12_stellar
10464199,11.909,1,0,,,,q1_q12_stellar
10491031,13.245,1,0,,,,q1_q12_stellar
10468940,14.968,2,2,,,,q1_q12_stellar
10583180,15.269,1,0,,,,q1_q12_stellar
