koi_id,npl,lcq_count,scq_count,total_count,runtime_score,bad_download
K01192,1,16,1,17,2,0
K01193,1,17,0,17,12,0
K01194,3,10,1,11,1494,0
K01196,2,17,0,17,174,0
K01198,4,11,6,17,19987,0
K01199,1,9,5,14,261,0
K01201,1,14,3,17,3346,0
K01202,1,14,3,17,9953,0
K01203,3,8,6,14,2041,0
K01204,1,17,0,17,179,0
K01205,1,14,0,14,144,0
K01206,1,14,0,14,2,0
K01207,1,17,0,17,110,0
K01208,1,14,0,14,1,0
K01209,1,17,0,17,5,0
K01210,1,14,0,14,85,0
K01212,1,17,0,17,133,0
K01214,1,14,0,14,293,0
K01215,2,14,4,18,1042,0
K01216,1,17,1,18,373,0
K01218,1,17,1,18,140,0
K01220,1,16,2,18,1051,0
K01221,2,8,9,17,1291,0
K01225,1,17,0,17,881,0
K01236,4,10,7,17,2665,0
K01238,1,17,0,17,55,0
K01239,2,13,1,14,6081,0
K01240,2,17,0,17,1020,0
K01241,2,12,6,18,2410,0
K01242,1,16,1,17,40,0
K01245,1,17,0,17,110,0
K01246,1,17,0,17,79,0
K01250,1,17,0,17,1245,0
K01251,1,17,0,17,2623,0
K01255,1,14,0,14,15,0
K01257,1,17,0,17,17,0
K01258,3,15,2,17,679,0
K01261,2,16,1,17,297,0
K01264,1,17,0,17,106,0
K01266,1,17,0,17,132,0
K01268,1,17,0,17,5,0
K01270,2,9,8,17,5756,0
K01271,1,15,2,17,39,0
K01273,1,17,0,17,37,0
K01274,1,18,0,18,2,0
K01275,1,16,1,17,81,0
K01276,2,18,0,18,190,0
K01278,4,16,1,17,993,0
K01279,2,14,3,17,1596,0
K01281,1,17,0,17,30,0
K01282,1,13,5,18,461,0
K01283,1,16,2,18,831,0
K01288,1,17,0,17,12,0
K01298,2,17,0,17,153,0
K01299,1,10,8,18,416,0
K01300,1,14,3,17,14639,0
K01301,2,14,1,15,407,0
K01302,1,17,0,17,27,0
K01303,1,17,0,17,44,0
K01304,1,14,0,14,270,0
K01305,2,17,0,17,817,0
K01306,4,11,6,17,17774,0
K01307,2,17,0,17,107,0
