koi_id,Teff,Teff_err1,Teff_err2,logg,logg_err1,logg_err2,FeH,FeH_err1,FeH_err2
K02055,5509.00,82.00,-74.00,4.308,0.156,-0.104,0.1600,0.1500,-0.1500
K02056,6060.00,163.00,-181.00,4.509,0.048,-0.192,-0.2200,0.2500,-0.3500
K02057,3974.00,79.00,-79.00,4.700,0.027,-0.027,-0.0600,0.1500,-0.1500
K02058,3746.00,75.00,-83.00,4.736,0.053,-0.025,0.0000,0.1500,-0.1500
K02059,4997.00,100.00,-100.00,4.598,0.018,-0.053,0.0000,0.1500,-0.1500
K02060,4786.00,130.00,-144.00,4.579,0.060,-0.030,-0.2000,0.3000,-0.3000
K02061,5081.00,166.00,-136.00,4.596,0.028,-0.083,0.1200,0.2500,-0.3000
K02062,6091.00,169.00,-211.00,4.487,0.054,-0.216,-0.1400,0.3000,-0.3000
K02063,5667.00,169.00,-152.00,4.587,0.038,-0.142,-0.3600,0.3000,-0.3000
K02064,6322.00,169.00,-225.00,4.426,0.054,-0.216,-0.1200,0.2500,-0.3000
K02065,5436.00,81.00,-81.00,4.505,0.039,-0.097,0.1200,0.1500,-0.1500
K02066,5578.00,100.00,-111.00,4.440,0.090,-0.099,0.0000,0.1500,-0.1500
K02067,5636.00,114.00,-103.00,4.147,0.188,-0.101,0.1200,0.1500,-0.1500
K02068,5952.00,160.00,-195.00,4.519,0.050,-0.212,-0.1800,0.3000,-0.3000
K02069,6564.00,181.00,-250.00,4.255,0.128,-0.192,-0.1600,0.2500,-0.3000
K02071,5272.00,73.00,-84.00,4.574,0.015,-0.085,0.1200,0.1500,-0.1500
K02072,5866.00,105.00,-117.00,4.200,0.182,-0.112,-0.1600,0.1500,-0.1500
K02073,4954.00,79.00,-79.00,4.500,0.072,-0.023,0.1800,0.1500,-0.1500
K02074,5136.00,153.00,-138.00,4.607,0.033,-0.077,-0.1200,0.3000,-0.3000
K02075,6084.00,136.00,-136.00,4.204,0.168,-0.112,-0.0600,0.1500,-0.1500
K02076,6063.00,181.00,-181.00,4.476,0.055,-0.165,0.0700,0.2000,-0.3500
K02078,4243.00,84.00,-84.00,4.637,0.027,-0.020,0.0200,0.1500,-0.1500
K02079,5457.00,81.00,-73.00,4.239,0.228,-0.152,0.1400,0.1500,-0.1500
K02080,5910.00,176.00,-193.00,4.505,0.052,-0.208,-0.0200,0.2500,-0.3000
