kepid,kepmag,nkoi,rrmscdpp03p0,rrmscdpp06p0,rrmscdpp09p0,rrmscdpp12p0,rrmscdpp15p0,st_delivname
4144236,11.856,2,,,,,,q1_q12_stellar
4144238,13.757,1,,,,,,q1_q12_stellar
4144873,13.983,1,,,,,,q1_q12_stellar
4175630,15.873,1,,,,,,q1_q12_stellar
4042026,15.187,1,,,,,,q1_q12_stellar
4072526,15.030,1,,,,,,q1_q12_stellar
4150804,12.888,1,,,,,,q1_q12_stellar
4150972,12.426,1,,,,,,q1_q12_stellar
4073017,14.772,1,,,,,,q1_q12_stellar
4157325,14.028,4,,,,,,q1_q12_stellar
4242147,14.649,1,,,,,,q1_q12_stellar
4075015,15.411,1,,,,,,q1_q12_stellar
4356766,15.449,1,,,,,,q1_q12_stellar
4275191,15.725,1,,,,,,q1_q12_stellar
4385148,15.480,2,,,,,,q1_q12_stellar
4474645,14.197,1,,,,,,q1_q12_stellar
4366323,15.676,1,,,,,,q1_q12_stellar
4367854,14.937,2,,,,,,q1_q12_stellar
4282191,14.155,1,,,,,,q1_q12_stellar
4282872,15.062,1,,,,,,q1_q12_stellar
4454752,14.411,1,,,,,,q1_q12_stellar
4346178,15.022,1,,,,,,q1_q12_stellar
4380560,15.062,1,,,,,,q1_q12_stellar
4464394,13.497,1,,,,,,q1_q12_stellar
4464689,12.928,1,,,,,,q1_q12_stellar
4270799,15.259,1,,,,,,q1_q12_stellar
4645833,15.222,1,,,,,,q1_q12_stellar
4678171,15.993,1,,,,,,q1_q12_stellar
4575824,14.358,1,,,,,,q1_q12_stellar
4647662,14.772,1,,,,,,q1_q12_stellar
4679314,13.656,1,,,,,,q1_q12_stellar
4725292,14.785,1,,,,,,q1_q12_stellar
4579321,17.388,1,,,,,,q1_q12_stellar
4656049,13.949,1,,,,,,q1_q12_stellar
4587135,15.487,1,,,,,,q1_q12_stellar
4483138,15.384,1,,,,,,q1_q12_stellar
4566848,15.656,1,,,,,,q1_q12_stellar
4484336,14.169,1,,,,,,q1_q12_stellar
4664046,15.625,1,,,,,,q1_q12_stellar
4665571,14.903,2,,,,,,q1_q12_stellar
4569942,15.204,1,,,,,,q1_q12_stellar
4670267,15.097,1,,,,,,q1_q12_stellar
4571004,13.482,5,,,,,,q1_q12_stellar
4773392,13.985,1,,,,,,q1_q12_stellar
4751083,16.028,2,,,,,,q1_q12_stellar
4813563,14.254,1,,,,,,q1_q12_stellar
4813793,12.954,1,,,,,,q1_q12_stellar
4840327,12.688,1,,,,,,q1_q12_stellar
4826439,13.820,1,,,,,,q1_q12_stellar
4760746,15.950,1,,,,,,q1_q12_stellar
4827723,13.359,1,,,,,,q1_q12_stellar
4847801,14.603,1,,,,,,q1_q12_stellar
4761427,15.941,1,,,,,,q1_q12_stellar
4762283,15.263,1,,,,,,q1_q12_stellar
4740375,14.817,1,,,,,,q1_q12_stellar
4830605,15.614,1,,,,,,q1_q12_stellar
4852528,14.804,5,,,,,,q1_q12_stellar
4770798,12.524,1,,,,,,q1_q12_stellar
4832225,9.072,1,,,,,,q1_q12_stellar
5021737,11.997,1,,,,,,q1_q12_stellar
5021899,15.540,1,,,,,,q1_q12_stellar
4937140,14.088,1,,,,,,q1_q12_stellar
5022440,15.286,1,,,,,,q1_q12_stellar
5024414,12.705,1,,,,,,q1_q12_stellar
5024482,12.203,1,,,,,,q1_q12_stellar
5026326,15.012,1,,,,,,q1_q12_stellar
4949027,15.140,1,,,,,,q1_q12_stellar
5014903,15.648,1,,,,,,q1_q12_stellar
4953262,11.653,1,,,,,,q1_q12_stellar
4932691,13.627,1,,,,,,q1_q12_stellar
4914423,12.287,2,,,,,,q1_q12_stellar
4914566,12.816,1,,,,,,q1_q12_stellar
4914737,15.109,1,,,,,,q1_q12_stellar
5078879,13.028,1,,,,,,q1_q12_stellar
5080565,16.609,1,,,,,,q1_q12_stellar
5080652,15.080,1,,,,,,q1_q12_stellar
5128673,14.000,1,,,,,,q1_q12_stellar
5130563,13.806,1,,,,,,q1_q12_stellar
5184911,15.141,2,,,,,,q1_q12_stellar
5084942,13.341,1,,,,,,q1_q12_stellar
5130740,12.504,1,,,,,,q1_q12_stellar
5185765,13.098,1,,,,,,q1_q12_stellar
5091075,11.857,1,,,,,,q1_q12_stellar
5111801,9.807,1,,,,,,q1_q12_stellar
5091614,14.083,1,,,,,,q1_q12_stellar
5092266,15.755,1,,,,,,q1_q12_stellar
5112198,14.128,1,,,,,,q1_q12_stellar
5027859,15.986,1,,,,,,q1_q12_stellar
5172274,12.625,1,,,,,,q1_q12_stellar
5094751,12.365,2,,,,,,q1_q12_stellar
5036052,12.644,1,,,,,,q1_q12_stellar
5125196,15.091,1,,,,,,q1_q12_stellar
5306984,13.050,1,,,,,,q1_q12_stellar
5307574,14.935,1,,,,,,q1_q12_stellar
5260419,15.986,1,,,,,,q1_q12_stellar
5209845,15.911,1,,,,,,q1_q12_stellar
5342473,14.338,1,,,,,,q1_q12_stellar
5211631,11.733,1,,,,,,q1_q12_stellar
5212220,13.214,1,,,,,,q1_q12_stellar
5288744,13.435,1,,,,,,q1_q12_stellar
5215508,11.270,1,,,,,,q1_q12_stellar
5216727,13.448,1,,,,,,q1_q12_stellar
5217891,15.648,1,,,,,,q1_q12_stellar
5272571,12.479,1,,,,,,q1_q12_stellar
5301955,12.939,1,,,,,,q1_q12_stellar
5282437,15.106,1,,,,,,q1_q12_stellar
5201593,13.639,1,,,,,,q1_q12_stellar
5283728,15.649,1,,,,,,q1_q12_stellar
5438099,15.565,4,,,,,,q1_q12_stellar
5439000,13.976,1,,,,,,q1_q12_stellar
5360974,15.945,1,,,,,,q1_q12_stellar
5391407,14.068,1,,,,,,q1_q12_stellar
5440651,15.341,1,,,,,,q1_q12_stellar
5443604,14.985,1,,,,,,q1_q12_stellar
5392897,15.747,1,,,,,,q1_q12_stellar
5443775,12.936,1,,,,,,q1_q12_stellar
5443837,14.545,1,,,,,,q1_q12_stellar
5444549,15.821,1,,,,,,q1_q12_stellar
5471217,14.418,1,,,,,,q1_q12_stellar
5471480,15.710,1,,,,,,q1_q12_stellar
5471496,15.889,1,,,,,,q1_q12_stellar
5471617,12.409,2,,,,,,q1_q12_stellar
5471770,13.605,1,,,,,,q1_q12_stellar
5374854,13.716,2,,,,,,q1_q12_stellar
5428657,15.121,1,,,,,,q1_q12_stellar
5456023,14.313,1,,,,,,q1_q12_stellar
5456979,15.668,1,,,,,,q1_q12_stellar
5357470,14.845,1,,,,,,q1_q12_stellar
5357901,14.741,1,,,,,,q1_q12_stellar
5384079,12.556,2,,,,,,q1_q12_stellar
5384713,13.693,4,,,,,,q1_q12_stellar
5436013,14.556,1,,,,,,q1_q12_stellar
5385647,13.994,1,,,,,,q1_q12_stellar
5513897,13.974,1,,,,,,q1_q12_stellar
5560831,16.090,1,,,,,,q1_q12_stellar
5562090,15.652,1,,,,,,q1_q12_stellar
5563057,12.519,1,,,,,,q1_q12_stellar
5542466,15.674,3,,,,,,q1_q12_stellar
5475494,15.145,1,,,,,,q1_q12_stellar
5475712,13.280,1,,,,,,q1_q12_stellar
5475735,14.395,1,,,,,,q1_q12_stellar
5476671,14.638,2,,,,,,q1_q12_stellar
5598639,10.201,1,,,,,,q1_q12_stellar
5551504,14.259,1,,,,,,q1_q12_stellar
5480640,14.467,3,,,,,,q1_q12_stellar
5602409,13.762,1,,,,,,q1_q12_stellar
5709103,12.879,1,,,,,,q1_q12_stellar
5709226,15.181,1,,,,,,q1_q12_stellar
5709906,13.773,1,,,,,,q1_q12_stellar
5636642,16.428,1,,,,,,q1_q12_stellar
5636648,15.330,1,,,,,,q1_q12_stellar
5710069,15.553,1,,,,,,q1_q12_stellar
5716508,13.524,1,,,,,,q1_q12_stellar
5771589,11.809,1,,,,,,q1_q12_stellar
5717567,11.514,1,,,,,,q1_q12_stellar
5616628,15.691,1,,,,,,q1_q12_stellar
5618071,13.747,1,,,,,,q1_q12_stellar
5730445,15.253,1,,,,,,q1_q12_stellar
5652893,13.380,1,,,,,,q1_q12_stellar
5731623,15.280,1,,,,,,q1_q12_stellar
5622250,14.203,1,,,,,,q1_q12_stellar
5706592,15.173,1,,,,,,q1_q12_stellar
5686974,13.732,1,,,,,,q1_q12_stellar
5814013,15.981,1,,,,,,q1_q12_stellar
5876360,17.172,1,,,,,,q1_q12_stellar
5819801,12.327,1,,,,,,q1_q12_stellar
5938970,14.073,1,,,,,,q1_q12_stellar
5879448,13.294,1,,,,,,q1_q12_stellar
5823557,13.894,1,,,,,,q1_q12_stellar
5775090,15.848,1,,,,,,q1_q12_stellar
5856571,13.237,2,,,,,,q1_q12_stellar
5779852,14.183,1,,,,,,q1_q12_stellar
5859725,13.048,1,,,,,,q1_q12_stellar
